object_type,object_count_in_reference,field_order,field_name,sample_value
BuildingSurface:Detailed,50,1,surface_name,WNCHA:PN02_ExtFloor_0_0_0
BuildingSurface:Detailed,50,2,surface_type,Floor
BuildingSurface:Detailed,50,3,construction_name,Project external floor
BuildingSurface:Detailed,50,4,zone_name,WNCHA:PN02
BuildingSurface:Detailed,50,5,outside_boundary_condition,Outdoors
BuildingSurface:Detailed,50,6,outside_boundary_condition_object,
BuildingSurface:Detailed,50,7,sun_exposure,SunExposed
BuildingSurface:Detailed,50,8,wind_exposure,WindExposed
BuildingSurface:Detailed,50,9,view_factor_to_ground,AutoCalculate
BuildingSurface:Detailed,50,10,number_of_vertices,4
BuildingSurface:Detailed,50,11,v1_x,.122584344
BuildingSurface:Detailed,50,12,v1_y,.0558730756
BuildingSurface:Detailed,50,13,v1_z,0
BuildingSurface:Detailed,50,14,v2_x,-3.747415656
BuildingSurface:Detailed,50,15,v2_y,.0558730756
BuildingSurface:Detailed,50,16,v2_z,0
BuildingSurface:Detailed,50,17,v3_x,-3.747415656
BuildingSurface:Detailed,50,18,v3_y,3.4758730756
BuildingSurface:Detailed,50,19,v3_z,0
BuildingSurface:Detailed,50,20,v4_x,.122584344
BuildingSurface:Detailed,50,21,v4_y,3.4758730756
BuildingSurface:Detailed,50,22,v4_z,0
BuildingSurface:Detailed,50,23,v5_x,
BuildingSurface:Detailed,50,24,v5_y,
BuildingSurface:Detailed,50,25,v5_z,
BuildingSurface:Detailed,50,26,v6_x,
BuildingSurface:Detailed,50,27,v6_y,
BuildingSurface:Detailed,50,28,v6_z,
BuildingSurface:Detailed,50,29,v7_x,
BuildingSurface:Detailed,50,30,v7_y,
BuildingSurface:Detailed,50,31,v7_z,
BuildingSurface:Detailed,50,32,v8_x,
BuildingSurface:Detailed,50,33,v8_y,
BuildingSurface:Detailed,50,34,v8_z,
BuildingSurface:Detailed,50,35,v9_x,
BuildingSurface:Detailed,50,36,v9_y,
BuildingSurface:Detailed,50,37,v9_z,
BuildingSurface:Detailed,50,38,v10_x,
BuildingSurface:Detailed,50,39,v10_y,
BuildingSurface:Detailed,50,40,v10_z,
BuildingSurface:Detailed,50,41,v11_x,
BuildingSurface:Detailed,50,42,v11_y,
BuildingSurface:Detailed,50,43,v11_z,
BuildingSurface:Detailed,50,44,v12_x,
BuildingSurface:Detailed,50,45,v12_y,
BuildingSurface:Detailed,50,46,v12_z,
