material_name,roughness,thickness_m,conductivity_w_per_mk,density_kg_per_m3,specific_heat_j_per_kgk,thermal_emittance,solar_absorptance,visible_absorptance
External Rendering_.025,Rough,0.025,0.5,1300,1000,0.9,0.7,0.7
MW Stone Wool (rolls)_.1025,Rough,0.102,0.04,30,840,0.9,0.6,0.6
Timber Flooring_.005,Rough,0.005,0.14,650,1200,0.9,0.78,0.78
Cast Concrete (Dense)_.1,Rough,0.100,1.4,2100,840,0.9,0.6,0.6
Painted Oak_.035,Rough,0.035,0.19,700,2390,0.9,0.5,0.5
IBST_BRICK_CLAY_110_.11,Rough,0.11,0.77,1700,840,0.9,0.65,0.65
IBST_CEMENT_MORTAR_15_.015,MediumSmooth,0.015,0.93,1800,840,0.9,0.7,0.7
IBST_BRICK_CLAY_150_.15,Rough,0.15,0.77,1700,840,0.9,0.65,0.65
STEEL_SHEET_0012,MediumSmooth,0.0012,50,7850,500,0.9,0.7,0.7
FIRE_DOOR_CORE_045,MediumSmooth,0.045,0.045,120,840,0.9,0.7,0.7
MDF_HDF_DOOR_LEAF_035,MediumSmooth,0.035,0.135,800,1300,0.9,0.7,0.7
UPVC_DOOR_PANEL_024,MediumSmooth,0.024,0.17,1400,1000,0.9,0.7,0.7
GLASS_TEMPERED_010,MediumSmooth,0.01,1,2500,750,0.9,0.7,0.7
GLASS_TEMPERED_008,MediumSmooth,0.008,1,2500,750,0.9,0.7,0.7
